DATE,OPEN,HIGH,LOW,PREV. CLOSE,VOLUME,VALUE,NO OF TRADES,CLOSE 
08-03-2022,1718.45,1800,1718.45,1739.85,10984500,19463755937,320286,1778.2
09-03-2022,1791,1831.6,1791,1778.2,10193515,18538320341,290276,1813.35
10-03-2022,1844.75,1844.75,1810.2,1813.35,6547182,11939977607,195637,1825.9
11-03-2022,1814,1831.4,1811,1825.9,4758657,8673758340,148439,1822
14-03-2022,1831.55,1895,1831.55,1822,10289724,19263377771,271878,1890.7
15-03-2022,1888.35,1888.35,1830,1890.7,7140443,13230484534,224849,1839.3
16-03-2022,1865,1893.95,1849,1839.3,5233979,9812820161,154465,1889.4
17-03-2022,1923.3,1923.3,1833.05,1889.4,17731459,33153300057,251465,1854.6
21-03-2022,1861,1886.9,1841.1,1854.6,8362085,15542599266,171756,1853.05
22-03-2022,1850,1890,1839,1853.05,5709382,10697206781,202175,1887.4
23-03-2022,1897,1900,1857,1887.4,6192824,11631503050,161491,1872.4
24-03-2022,1856.15,1894.6,1856.15,1872.4,3784303,7129425934,114815,1886.7
25-03-2022,1892,1894,1858,1886.7,3438588,6444362804,130194,1876.55
28-03-2022,1866,1880.9,1852.65,1876.55,4008555,7487212707,131939,1873.9
29-03-2022,1873.9,1889.4,1860.55,1873.9,3917785,7348234594,115629,1886
30-03-2022,1910,1919,1895,1886,7795839,14864126250,178770,1903.95
31-03-2022,1900,1913,1894.2,1903.95,5399145,10280780471,131746,1906.85
01-04-2022,1886.85,1910.3,1878.3,1906.85,6171518,11692698942,154230,1903.55
04-04-2022,1889.75,1893,1873,1903.55,7364074,13877776218,287232,1882.95
05-04-2022,1883.8,1889.6,1857.15,1882.95,5472024,10239606829,203468,1861.1
06-04-2022,1855,1857.5,1822.15,1861.1,5407453,9927969801,208906,1828.85
07-04-2022,1821.05,1828.15,1807.55,1828.85,5797544,10529983626,236348,1811
08-04-2022,1823,1838,1808,1811,5131446,9347538869,171076,1814.6
11-04-2022,1814,1814,1762.55,1814.6,8248407,14641918535,374415,1766.55
12-04-2022,1757.5,1757.5,1727.75,1766.55,6456184,11242708992,268976,1742.45
